Lookup ID,Age,Gender,Marital status,City,State,Country,Email,Class of,College,Degree,Enrolled Via,Enrollment Date,Total Donation Amount,Cumulative Lifetime Donation Years,Consecutive Years of Giving,If Donated
11723196,48,Male,Married,Naperville,Illinois,United States,Yes,,,MBA: Master of Business Administration,Main site,2022-03-13 00:00:00,768,3,3,1
14272754,0,Unknown,Unknown,Payson,Arizona,United States,Yes,,,,Main site,2022-08-30 00:00:00,0,0,0,0
14266727,0,Male,Unknown,Kansas City,Missouri,United States,Yes,,,,Main site,2022-07-21 00:00:00,0,0,0,0
11497561,79,Female,Widow/er,Sarasota,Florida,United States,Yes,1987,2FW-Nursing,MS: Master of Science,Main site,2022-08-31 00:00:00,0,0,0,0
11717684,51,Male,Unknown,Plainfield,Illinois,United States,Yes,1995,"1KL-Agr, Consumer, & Env Sciences",BS: Bachelor of Science,Main site,2022-12-29 00:00:00,0,0,0,0
12056521,45,Female,Married,Big Stone Gap,Virginia,United States,Yes,2009,1KV-Liberal Arts & Sciences,PHD: Doctor of Philosophy,Main site,2022-08-22 00:00:00,0,0,0,0
11956527,44,Male,Married,Mahomet,Illinois,United States,Yes,,,BS: Bachelor of Science,Main site,2022-06-23 00:00:00,0,0,0,0
11459490,54,Male,Married,Gilberts,Illinois,United States,Yes,1991,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-03-04 00:00:00,60,2,1,1
11695206,78,Male,Married,Clarkston,Michigan,United States,Yes,1967,1KP-Grainger Engineering,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
14326401,0,Male,Unknown,Chapin,Illinois,United States,Yes,,,,No record,1900-01-01 00:00:00,0,0,0,0
11466440,54,Female,Married,Flossmoor,Illinois,United States,Yes,1990,1KV-Liberal Arts & Sciences,BS: Bachelor of Science,Main site,2022-12-09 00:00:00,0,0,0,0
11460230,74,Male,Married,Mount Airy,Maryland,United States,Yes,1971,1KP-Grainger Engineering,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
14330014,0,Male,Unknown,Mc Nabb,Illinois,United States,Yes,,,,Main site,2022-10-25 00:00:00,0,0,0,0
11320858,59,Male,Married,Richton Park,Illinois,United States,Yes,1985,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-03-18 00:00:00,52778,6,1,1
11582370,59,Female,Single,Columbus,Ohio,United States,Yes,1987,1KN-Education,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11492672,47,Female,Married,Frisco,Texas,United States,Yes,,,MBA: Master of Business Administration,Main site,2022-12-16 00:00:00,0,0,0,0
11634454,58,Male,Married,Lisle,Illinois,United States,Yes,1986,"1KL-Agr, Consumer, & Env Sciences",BS: Bachelor of Science,Main site,2022-02-11 00:00:00,2729.81,6,1,1
13524239,29,Male,Single,Jersey City,New Jersey,United States,Yes,2020,1KP-Grainger Engineering,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
